"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"Ants.nlogo"
"Evaoration rate experiment"
"12/04/2024 14:12:22:463 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-35","35","-35","35"
"[run number]","evaporation-rate","population","diffusion-rate","[step]","ticks"
"206","20","125","50","2795","2795"
"202","20","125","50","3026","3026"
"203","20","125","50","2778","2778"
"204","20","125","50","2958","2958"
"207","20","125","50","2756","2756"
"208","20","125","50","2800","2800"
"210","20","125","50","3104","3104"
"209","20","125","50","3373","3373"
"211","21","125","50","2837","2837"
"212","21","125","50","3057","3057"
"213","21","125","50","2992","2992"
"214","21","125","50","2868","2868"
"216","21","125","50","2907","2907"
"215","21","125","50","3152","3152"
"219","21","125","50","2690","2690"
"217","21","125","50","3139","3139"
"218","21","125","50","3072","3072"
"220","21","125","50","2412","2412"
"221","22","125","50","2695","2695"
"224","22","125","50","2819","2819"
"225","22","125","50","2788","2788"
"223","22","125","50","3134","3134"
"222","22","125","50","2908","2908"
"228","22","125","50","2838","2838"
"227","22","125","50","2919","2919"
"226","22","125","50","2868","2868"
"231","23","125","50","2670","2670"
"234","23","125","50","2415","2415"
"230","22","125","50","3151","3151"
"233","23","125","50","2850","2850"
"229","22","125","50","3085","3085"
"232","23","125","50","2673","2673"
"235","23","125","50","2498","2498"
"236","23","125","50","2796","2796"
"243","24","125","50","2291","2291"
"238","23","125","50","2655","2655"
"241","24","125","50","2733","2733"
"237","23","125","50","3049","3049"
"240","23","125","50","2800","2800"
"242","24","125","50","2941","2941"
"245","24","125","50","2769","2769"
"239","23","125","50","3312","3312"
"244","24","125","50","2916","2916"
"246","24","125","50","2611","2611"
"248","24","125","50","2862","2862"
"250","24","125","50","2725","2725"
"249","24","125","50","2636","2636"
"252","25","125","50","2808","2808"
"251","25","125","50","2853","2853"
"247","24","125","50","2948","2948"
"253","25","125","50","2868","2868"
"254","25","125","50","2971","2971"
"256","25","125","50","2802","2802"
"255","25","125","50","3001","3001"
"257","25","125","50","2964","2964"
"258","25","125","50","3098","3098"
"259","25","125","50","3000","3000"
"262","26","125","50","2601","2601"
"260","25","125","50","2943","2943"
"263","26","125","50","2500","2500"
"261","26","125","50","3080","3080"
"264","26","125","50","2992","2992"
"265","26","125","50","2870","2870"
"267","26","125","50","2253","2253"
"266","26","125","50","2577","2577"
"268","26","125","50","2491","2491"
"269","26","125","50","2827","2827"
"270","26","125","50","3058","3058"
"271","27","125","50","2610","2610"
"272","27","125","50","2932","2932"
"273","27","125","50","2492","2492"
"275","27","125","50","2370","2370"
"274","27","125","50","2949","2949"
"276","27","125","50","2839","2839"
"278","27","125","50","2332","2332"
"280","27","125","50","2446","2446"
"277","27","125","50","2746","2746"
"279","27","125","50","2665","2665"
"281","28","125","50","2725","2725"
"286","28","125","50","2428","2428"
"282","28","125","50","2987","2987"
"284","28","125","50","2538","2538"
"289","28","125","50","2943","2943"
"285","28","125","50","2807","2807"
"287","28","125","50","2930","2930"
"283","28","125","50","2737","2737"
"288","28","125","50","2768","2768"
"292","29","125","50","2602","2602"
"290","28","125","50","3365","3365"
"291","29","125","50","2853","2853"
"293","29","125","50","2721","2721"
"296","29","125","50","2621","2621"
"295","29","125","50","2334","2334"
"294","29","125","50","2640","2640"
"298","29","125","50","2401","2401"
"301","30","125","50","2483","2483"
"300","29","125","50","2305","2305"
"297","29","125","50","2364","2364"
"302","30","125","50","2397","2397"
"299","29","125","50","2965","2965"
"304","30","125","50","2297","2297"
"308","30","125","50","2298","2298"
"305","30","125","50","3135","3135"
"309","30","125","50","2822","2822"
"310","30","125","50","2413","2413"
"303","30","125","50","2789","2789"
"306","30","125","50","2911","2911"
"307","30","125","50","2548","2548"
"311","31","125","50","2361","2361"
"312","31","125","50","2459","2459"
"313","31","125","50","2277","2277"
"314","31","125","50","2622","2622"
"316","31","125","50","2596","2596"
"315","31","125","50","2702","2702"
"317","31","125","50","2914","2914"
"318","31","125","50","2670","2670"
"319","31","125","50","2638","2638"
"320","31","125","50","2665","2665"
"322","32","125","50","2578","2578"
"321","32","125","50","2900","2900"
"323","32","125","50","2558","2558"
"324","32","125","50","2076","2076"
"325","32","125","50","2433","2433"
"326","32","125","50","2298","2298"
"328","32","125","50","2357","2357"
"327","32","125","50","2673","2673"
"330","32","125","50","2173","2173"
"329","32","125","50","2788","2788"
"331","33","125","50","2373","2373"
"332","33","125","50","2514","2514"
"334","33","125","50","2295","2295"
"335","33","125","50","2217","2217"
"336","33","125","50","2521","2521"
"337","33","125","50","2768","2768"
"333","33","125","50","2770","2770"
"338","33","125","50","2476","2476"
"339","33","125","50","2420","2420"
"341","34","125","50","2487","2487"
"347","34","125","50","2209","2209"
"340","33","125","50","2529","2529"
"343","34","125","50","2456","2456"
"349","34","125","50","2287","2287"
"342","34","125","50","2453","2453"
"346","34","125","50","2380","2380"
"344","34","125","50","2791","2791"
"348","34","125","50","2361","2361"
"345","34","125","50","2701","2701"
"350","34","125","50","2058","2058"
"351","35","125","50","2422","2422"
"352","35","125","50","2885","2885"
"354","35","125","50","2334","2334"
"357","35","125","50","2179","2179"
"355","35","125","50","2713","2713"
"353","35","125","50","2736","2736"
"359","35","125","50","2616","2616"
"361","36","125","50","2138","2138"
"356","35","125","50","2569","2569"
"358","35","125","50","2584","2584"
"360","35","125","50","2477","2477"
"363","36","125","50","2314","2314"
"366","36","125","50","2092","2092"
"362","36","125","50","2302","2302"
"364","36","125","50","2301","2301"
"365","36","125","50","2332","2332"
"368","36","125","50","2458","2458"
"367","36","125","50","2445","2445"
"369","36","125","50","2396","2396"
"371","37","125","50","2457","2457"
"372","37","125","50","2373","2373"
"370","36","125","50","2559","2559"
"373","37","125","50","2164","2164"
"374","37","125","50","2238","2238"
"376","37","125","50","2204","2204"
"377","37","125","50","2076","2076"
"375","37","125","50","2213","2213"
"378","37","125","50","2283","2283"
"380","37","125","50","2069","2069"
"379","37","125","50","2475","2475"
"381","38","125","50","2437","2437"
"382","38","125","50","2590","2590"
"384","38","125","50","2267","2267"
"383","38","125","50","2535","2535"
"385","38","125","50","2579","2579"
"386","38","125","50","2212","2212"
"388","38","125","50","1830","1830"
"387","38","125","50","2146","2146"
"389","38","125","50","2041","2041"
"390","38","125","50","2349","2349"
"391","39","125","50","2443","2443"
"394","39","125","50","2237","2237"
"392","39","125","50","2347","2347"
"393","39","125","50","2561","2561"
"400","39","125","50","1969","1969"
"396","39","125","50","2275","2275"
"397","39","125","50","2278","2278"
"399","39","125","50","2286","2286"
"398","39","125","50","2157","2157"
"395","39","125","50","2522","2522"
"401","40","125","50","1877","1877"
"403","40","125","50","2228","2228"
"402","40","125","50","2431","2431"
"404","40","125","50","2318","2318"
"406","40","125","50","2094","2094"
"409","40","125","50","1994","1994"
"407","40","125","50","2475","2475"
"408","40","125","50","2264","2264"
"412","41","125","50","1926","1926"
"405","40","125","50","2526","2526"
"410","40","125","50","2257","2257"
"411","41","125","50","2093","2093"
"413","41","125","50","1955","1955"
"415","41","125","50","1784","1784"
"414","41","125","50","2218","2218"
"418","41","125","50","2288","2288"
"417","41","125","50","2056","2056"
"419","41","125","50","1993","1993"
"420","41","125","50","2022","2022"
"422","42","125","50","1939","1939"
"416","41","125","50","3016","3016"
"423","42","125","50","1864","1864"
"421","42","125","50","2437","2437"
"424","42","125","50","2401","2401"
"427","42","125","50","2020","2020"
"426","42","125","50","2411","2411"
"429","42","125","50","2265","2265"
"428","42","125","50","2406","2406"
"432","43","125","50","1750","1750"
"430","42","125","50","2131","2131"
"435","43","125","50","2198","2198"
"425","42","125","50","2576","2576"
"434","43","125","50","1959","1959"
"431","43","125","50","2278","2278"
"433","43","125","50","1988","1988"
"436","43","125","50","2143","2143"
"441","44","125","50","1726","1726"
"439","43","125","50","2047","2047"
"438","43","125","50","2307","2307"
"440","43","125","50","2116","2116"
"437","43","125","50","2395","2395"
"443","44","125","50","1967","1967"
"442","44","125","50","2579","2579"
"444","44","125","50","2173","2173"
"445","44","125","50","2169","2169"
"447","44","125","50","2345","2345"
"446","44","125","50","2284","2284"
"448","44","125","50","1891","1891"
"449","44","125","50","2144","2144"
"454","45","125","50","2473","2473"
"451","45","125","50","2055","2055"
"450","44","125","50","2187","2187"
"452","45","125","50","2075","2075"
"455","45","125","50","1773","1773"
"457","45","125","50","2075","2075"
"456","45","125","50","2055","2055"
"453","45","125","50","2272","2272"
"458","45","125","50","1937","1937"
"459","45","125","50","2168","2168"
"461","46","125","50","2139","2139"
"460","45","125","50","1792","1792"
"462","46","125","50","1861","1861"
"463","46","125","50","1973","1973"
"464","46","125","50","1935","1935"
"466","46","125","50","2267","2267"
"465","46","125","50","2050","2050"
"467","46","125","50","2334","2334"
"468","46","125","50","2267","2267"
"471","47","125","50","2205","2205"
"472","47","125","50","1839","1839"
"473","47","125","50","1992","1992"
"476","47","125","50","2000","2000"
"470","46","125","50","2268","2268"
"469","46","125","50","1990","1990"
"474","47","125","50","2124","2124"
"475","47","125","50","2114","2114"
