"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"Ants.nlogo"
"Evaporation rate experiment"
"12/06/2024 23:13:31:351 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-35","35","-35","35"
"[run number]","evaporation-rate","population","diffusion-rate","[step]","ticks","ticks_blue","ticks_sky","ticks_cyan"
"141","5","125","50","606","606","606","475","210"
"137","5","125","50","889","889","889","369","211"
"139","5","125","50","836","836","836","339","251"
"143","5","125","50","623","623","623","385","286"
"142","5","125","50","871","871","871","383","203"
"144","5","125","50","631","631","631","469","219"
"146","5","125","50","860","860","860","372","217"
"140","5","125","50","862","862","862","360","224"
"145","5","125","50","888","888","888","368","228"
"150","5","125","50","575","575","575","425","251"
"147","5","125","50","835","835","421","835","211"
"153","5","125","50","567","567","567","365","354"
"148","5","125","50","904","904","904","375","221"
"149","5","125","50","880","880","880","363","210"
"152","5","125","50","822","822","822","359","203"
"155","5","125","50","556","556","556","391","261"
"154","5","125","50","857","857","857","363","245"
"151","5","125","50","919","919","919","375","219"
"159","5","125","50","531","531","531","425","246"
"156","5","125","50","848","848","848","352","256"
"158","5","125","50","612","612","612","462","198"
"157","5","125","50","596","596","596","401","283"
"160","5","125","50","871","871","871","387","236"
"161","5","125","50","882","882","882","379","195"
"162","5","125","50","818","818","818","329","276"
"163","5","125","50","875","875","875","369","205"
"166","5","125","50","868","868","868","351","190"
"164","5","125","50","824","824","824","354","238"
"170","5","125","50","594","594","594","393","212"
"168","5","125","50","722","722","722","472","197"
"167","5","125","50","876","876","876","291","328"
"169","5","125","50","897","897","897","385","258"
"165","5","125","50","910","910","910","390","233"
"176","5","125","50","635","635","635","455","211"
"175","5","125","50","588","588","588","371","216"
"171","5","125","50","838","838","838","367","249"
"173","5","125","50","864","864","864","355","262"
"172","5","125","50","882","882","882","372","182"
"181","5","125","50","605","605","605","448","251"
"174","5","125","50","869","869","869","374","267"
"177","5","125","50","841","841","841","325","235"
"182","5","125","50","608","608","608","409","229"
"179","5","125","50","838","838","454","838","188"
"178","5","125","50","903","903","903","370","215"
"184","5","125","50","572","572","572","444","247"
"180","5","125","50","944","944","547","944","236"
"183","5","125","50","875","875","875","371","231"
"186","5","125","50","550","550","550","380","290"
"189","5","125","50","623","623","623","447","247"
"188","5","125","50","887","887","453","887","337"
"194","5","125","50","574","574","574","444","253"
"190","5","125","50","861","861","861","342","276"
"187","5","125","50","887","887","887","362","268"
"192","5","125","50","846","846","846","336","272"
"191","5","125","50","923","923","923","371","207"
"185","5","125","50","944","944","944","395","234"
"196","5","125","50","861","861","861","357","230"
"195","5","125","50","893","893","893","362","280"
"197","5","125","50","892","892","892","328","282"
"193","5","125","50","1112","1112","1112","370","227"
"199","5","125","50","885","885","885","363","255"
"198","5","125","50","917","917","917","397","206"
"201","10","125","50","805","805","805","339","230"
"200","5","125","50","892","892","892","362","215"
"202","10","125","50","800","800","436","800","198"
"204","10","125","50","741","741","741","362","198"
"210","10","125","50","681","681","681","616","155"
"203","10","125","50","996","996","996","523","173"
"206","10","125","50","1068","1068","1068","569","216"
"207","10","125","50","829","829","829","313","200"
"211","10","125","50","783","783","783","356","230"
"205","10","125","50","904","904","904","359","221"
"212","10","125","50","769","769","769","563","202"
"214","10","125","50","701","701","701","569","186"
"208","10","125","50","1203","1203","1203","653","219"
"209","10","125","50","1277","1277","1277","498","180"
"216","10","125","50","832","832","832","328","195"
"218","10","125","50","860","860","860","353","219"
"215","10","125","50","888","888","888","369","189"
"220","10","125","50","994","994","994","527","197"
"217","10","125","50","1235","1235","1235","529","199"
"222","10","125","50","945","945","945","522","189"
"224","10","125","50","868","868","868","392","196"
"226","10","125","50","842","842","842","414","243"
"213","10","125","50","1734","1734","1734","519","191"
"223","10","125","50","804","804","804","358","224"
"227","10","125","50","1175","1175","1175","690","230"
"225","10","125","50","1072","1072","1072","582","194"
"228","10","125","50","819","819","819","365","248"
"229","10","125","50","753","753","753","327","243"
"221","10","125","50","1288","1288","1288","362","220"
"219","10","125","50","1731","1731","1731","481","186"
"230","10","125","50","802","802","802","352","212"
"231","10","125","50","751","751","751","339","301"
"233","10","125","50","917","917","917","414","206"
"236","10","125","50","796","796","796","396","205"
"232","10","125","50","983","983","983","481","166"
"234","10","125","50","1132","1132","1132","342","270"
"235","10","125","50","1036","1036","1036","589","193"
"237","10","125","50","917","917","917","523","197"
"242","10","125","50","721","721","721","341","276"
"243","10","125","50","706","706","706","612","180"
"244","10","125","50","941","941","941","545","176"
"238","10","125","50","1013","1013","1013","369","200"
"239","10","125","50","1150","1150","1150","516","184"
"245","10","125","50","1054","1054","1054","525","230"
"240","10","125","50","908","908","908","527","192"
"247","10","125","50","851","851","851","375","182"
"241","10","125","50","1353","1353","1353","364","205"
"246","10","125","50","988","988","988","512","212"
"248","10","125","50","765","765","765","347","223"
"249","10","125","50","950","950","950","319","273"
"252","10","125","50","938","938","938","576","194"
"250","10","125","50","1002","1002","1002","543","192"
"251","10","125","50","1185","1185","1185","513","180"
"253","10","125","50","788","788","788","339","205"
"255","10","125","50","1252","1252","1252","353","200"
"254","10","125","50","975","975","975","369","213"
"258","10","125","50","740","740","740","578","178"
"259","10","125","50","774","774","774","342","182"
"257","10","125","50","1078","1078","1078","737","192"
"263","10","125","50","691","691","507","691","197"
"261","10","125","50","813","813","813","339","234"
"256","10","125","50","1043","1043","1043","354","235"
"264","10","125","50","746","746","746","628","201"
"260","10","125","50","1152","1152","1152","353","189"
